                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6185,                  4.636,                 4.1254,                0.00148,                0.30692,                0.00126,                0.00038,                 3.2646,                 5.0188,                 3.9284,              0.0033256,              0.0033256,              0.0033256
                      2,                 3.0453,                 4.1773,                 3.5492,                0.00239,                 0.4824,                0.00595,                0.00191,                 2.8745,                 4.2392,                 3.4032,               0.006593,               0.006593,               0.006593
                      3,                 2.7278,                 3.8301,                 3.0255,                0.03056,                0.01828,                0.01076,                0.00303,                 2.7135,                    4.1,                 3.0547,              0.0097944,              0.0097944,              0.0097944
                      4,                 2.5182,                 3.5791,                  2.736,                0.04009,                0.07367,                0.00656,                 0.0017,                 3.0011,                 6.0813,                 3.4718,               0.009703,               0.009703,               0.009703
                      5,                 2.3602,                 3.3184,                 2.5354,                0.15685,                0.12295,                0.07725,                0.02734,                  2.396,                 3.3976,                  2.705,               0.009703,               0.009703,               0.009703
                      6,                  2.268,                 3.1427,                 2.4186,                0.17106,                0.16845,                0.08893,                0.03433,                 2.3382,                 3.3763,                 2.6495,               0.009604,               0.009604,               0.009604
                      7,                 2.2237,                  3.033,                 2.3591,                0.30347,                0.20007,                0.16115,                0.06124,                 2.2407,                 2.9486,                 2.5119,               0.009505,               0.009505,               0.009505
                      8,                 2.1275,                 2.8449,                 2.2767,                0.28966,                0.25335,                0.15914,                0.06069,                 2.1549,                  3.013,                 2.4509,               0.009406,               0.009406,               0.009406
                      9,                 2.0884,                 2.7257,                 2.2183,                0.38072,                0.27563,                0.23498,                0.09776,                 2.1164,                 2.5822,                 2.3602,               0.009307,               0.009307,               0.009307
                     10,                  2.036,                 2.6391,                 2.1704,                0.37962,                0.32555,                0.27582,                0.11525,                 2.0307,                 2.4984,                 2.2894,               0.009208,               0.009208,               0.009208
                     11,                 2.0189,                 2.5861,                 2.1416,                0.40358,                0.34873,                 0.3093,                0.13472,                 1.9946,                 2.3981,                 2.2575,               0.009109,               0.009109,               0.009109
                     12,                 1.9837,                 2.5041,                 2.1142,                0.43978,                0.35843,                0.34609,                0.15851,                 1.9493,                 2.2906,                 2.2148,                0.00901,                0.00901,                0.00901
                     13,                 1.9324,                 2.4157,                 2.0662,                0.46978,                0.34393,                 0.3369,                 0.1509,                 1.9961,                 2.3139,                 2.2722,               0.008911,               0.008911,               0.008911
                     14,                 1.9169,                 2.3929,                 2.0413,                0.46239,                0.39829,                0.39281,                0.17972,                 1.8949,                 2.1656,                 2.1588,               0.008812,               0.008812,               0.008812
                     15,                  1.893,                 2.3234,                 2.0237,                0.51423,                0.42632,                0.41365,                0.19527,                 1.8814,                 2.0709,                 2.1417,               0.008713,               0.008713,               0.008713
                     16,                 1.8842,                 2.3033,                 2.0077,                0.54204,                0.43723,                0.44442,                0.20223,                 1.8645,                 1.9845,                 2.0984,               0.008614,               0.008614,               0.008614
                     17,                 1.8608,                 2.2568,                 1.9875,                 0.5501,                0.46376,                0.45769,                0.22017,                 1.8591,                  1.963,                 2.0963,               0.008515,               0.008515,               0.008515
                     18,                 1.8434,                  2.205,                 1.9582,                0.51013,                0.43456,                0.42521,                0.20442,                  1.874,                 2.0344,                 2.1106,               0.008416,               0.008416,               0.008416
                     19,                 1.8268,                 2.1584,                 1.9476,                0.59212,                0.47284,                0.49567,                0.24298,                 1.8035,                 1.8436,                 2.0463,               0.008317,               0.008317,               0.008317
                     20,                 1.8143,                  2.128,                 1.9303,                0.53694,                 0.4838,                0.48704,                0.23497,                 1.8096,                 1.9433,                 2.0608,               0.008218,               0.008218,               0.008218
